16
5	1	1	6	5	1	1	1	1	1	1	6	5	9	1	6	
4	0	0	0	0	2	8	0	0	0	0	0	2	5	0	2	
4	3	0	0	0	0	1	0	0	7	4	0	0	0	0	2	
4	6	4	0	0	0	0	0	0	1	0	0	0	0	0	7	
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	
4	0	7	4	0	0	0	7	4	0	0	3	0	2	8	2	
8	0	1	0	0	0	0	9	3	0	0	6	4	0	1	2	
5	0	0	0	0	0	2	11	11	4	0	0	0	0	0	2	
4	0	3	0	2	8	2	11	11	4	0	0	3	0	0	2	
4	2	5	0	0	1	0	1	1	0	0	0	6	4	0	7	
4	0	0	0	0	0	0	0	2	8	0	0	0	0	0	6	
8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	
5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	
4	0	0	0	6	4	0	0	0	3	0	0	0	0	7	10	
4	7	4	0	0	0	0	0	2	5	0	0	0	0	1	2	
8	9	3	3	3	7	8	3	3	3	7	8	3	3	3	7	
